iter	MultiRMSE
0	15.32110966
1	14.93915832
2	14.56917664
3	14.21048137
4	13.863297
5	13.52628906
6	13.1925847
7	12.87852825
8	12.54646556
9	12.25753313
10	11.96452562
11	11.68939573
12	11.41136481
13	11.14900639
14	10.89402054
15	10.64607809
16	10.39760785
17	10.16008616
18	9.921400055
19	9.698476845
20	9.482900713
21	9.274897459
22	9.06853868
23	8.880086692
24	8.698607157
25	8.503854671
26	8.329856903
27	8.15417985
28	7.984372289
29	7.824594422
30	7.659592135
31	7.512477979
32	7.352815918
33	7.20284796
34	7.071919291
35	6.941947721
36	6.813338693
37	6.675721317
38	6.558930131
39	6.429657389
40	6.308457905
41	6.200970468
42	6.090505647
43	5.972901814
44	5.883694617
45	5.776048075
46	5.669671368
47	5.578733687
48	5.479888051
49	5.383182521
50	5.292200918
51	5.210094633
52	5.110418028
53	5.018132927
54	4.939642053
55	4.861033203
56	4.789208517
57	4.714330624
58	4.6393571
59	4.568351741
60	4.499123664
61	4.430978755
62	4.37291623
63	4.318684187
64	4.26257816
65	4.193510573
66	4.131901256
67	4.077747386
68	4.021969031
69	3.965524861
70	3.908172808
71	3.855999613
72	3.809984418
73	3.771797638
74	3.719420147
75	3.674380433
76	3.629742723
77	3.594922621
78	3.546302267
79	3.497580612
80	3.465484385
81	3.430847786
82	3.3942515
83	3.357585733
84	3.313872699
85	3.274729576
86	3.22593529
87	3.19875116
88	3.172318591
89	3.145063095
90	3.106189104
91	3.073749997
92	3.048453942
93	3.020091864
94	2.989898568
95	2.962672704
96	2.931482753
97	2.901382906
98	2.874125106
99	2.837848787
100	2.806800718
101	2.779926341
102	2.756912642
103	2.732633341
104	2.707465116
105	2.68169149
106	2.665088452
107	2.649161688
108	2.621491533
109	2.607447969
110	2.584757694
111	2.557958897
112	2.536828074
113	2.513256402
114	2.49117831
115	2.475012894
116	2.457228336
117	2.441656269
118	2.422982342
119	2.407439007
120	2.387742234
121	2.370948311
122	2.35404968
123	2.333874126
124	2.316382692
125	2.302361538
126	2.280405522
127	2.264076277
128	2.252445049
129	2.240947408
130	2.226792214
131	2.215365824
132	2.207717742
133	2.193051764
134	2.183941719
135	2.166392027
136	2.152405558
137	2.140066321
138	2.121479959
139	2.103962518
140	2.08684681
141	2.071152271
142	2.055886492
143	2.040845556
144	2.027850011
145	2.020918188
146	2.008873336
147	1.993020324
148	1.974521944
149	1.959453453
150	1.947045983
151	1.927699087
152	1.918606767
153	1.908395168
154	1.897947665
155	1.884180922
156	1.87903342
157	1.870794257
158	1.858514088
159	1.84398775
160	1.833039254
161	1.821374625
162	1.812481424
163	1.80352063
164	1.790179771
165	1.778226309
