iter	MultiRMSE
0	15.32697282
1	14.94480374
2	14.56077215
3	14.19676135
4	13.84909894
5	13.51499005
6	13.1945552
7	12.87034135
8	12.56859885
9	12.27385667
10	11.97231022
11	11.69334531
12	11.41886403
13	11.15218717
14	10.9039449
15	10.65185653
16	10.41771915
17	10.17744462
18	9.963591171
19	9.731759278
20	9.503266624
21	9.298864001
22	9.111321173
23	8.902733756
24	8.711835491
25	8.522798128
26	8.348468108
27	8.167642882
28	7.993963701
29	7.836162416
30	7.681634411
31	7.531372561
32	7.392494557
33	7.243086313
34	7.099564486
35	6.960183055
36	6.823180277
37	6.68376719
38	6.555169241
39	6.435960559
40	6.32145691
41	6.204220882
42	6.099053346
43	5.994999744
44	5.890564556
45	5.791421694
46	5.696191236
47	5.588998446
48	5.488862178
49	5.396116846
50	5.324335308
51	5.233168952
52	5.152654308
53	5.070572638
54	4.985854556
55	4.916624421
56	4.84365566
57	4.775846963
58	4.717402672
59	4.652001685
60	4.589653309
61	4.513991069
62	4.445691817
63	4.390599284
64	4.319945491
65	4.260251132
66	4.202701099
67	4.153115417
68	4.096650603
69	4.049192849
70	4.00681927
71	3.961513455
72	3.906636372
73	3.849219285
74	3.806462841
75	3.768101346
76	3.714946691
77	3.678265113
78	3.620845942
79	3.577894655
80	3.535464072
81	3.492618919
82	3.456500833
83	3.41418071
84	3.384598763
85	3.341918309
86	3.300299206
87	3.269997185
88	3.237590305
89	3.198534972
90	3.161727405
91	3.127745356
92	3.10339058
93	3.067537125
94	3.035172144
95	3.003948225
96	2.971050648
97	2.937994145
98	2.910723347
99	2.878242847
100	2.847399008
101	2.824952073
102	2.800463989
103	2.772594615
104	2.746446886
105	2.724093773
106	2.694662792
107	2.670176661
108	2.644732458
109	2.628244253
110	2.61206385
111	2.592475576
112	2.575088227
113	2.549295847
114	2.532963052
115	2.512741514
116	2.486932884
117	2.472000743
118	2.457773614
119	2.43842233
120	2.412792521
121	2.393121506
122	2.379449345
123	2.360417524
124	2.351645529
125	2.338747112
126	2.321781564
127	2.307042923
128	2.288157495
129	2.266127957
130	2.247754493
131	2.234069089
132	2.213987181
133	2.203180867
134	2.180494795
135	2.168861436
136	2.15378851
137	2.142117196
138	2.124482744
139	2.106722652
140	2.090397938
141	2.071807554
142	2.062234869
143	2.048628488
144	2.032693677
145	2.022081102
146	2.012053606
147	1.99992048
148	1.984847829
149	1.966619408
150	1.954227915
151	1.938912759
152	1.927528118
153	1.915771487
154	1.903045396
155	1.884388704
156	1.87500485
157	1.865559111
158	1.856631787
159	1.841873216
160	1.826851035
161	1.809875444
162	1.803051873
163	1.792367812
164	1.777028086
165	1.762750719
166	1.753638316
167	1.74337637
168	1.731973289
169	1.716810693
170	1.710470617
171	1.704584697
172	1.692065102
173	1.686186046
174	1.670745067
175	1.666312092
176	1.657146377
177	1.647250497
178	1.635461293
179	1.624147558
180	1.612819538
181	1.600723856
182	1.596242167
183	1.584253691
184	1.575265764
185	1.570812181
186	1.561812466
187	1.550323168
188	1.540027872
189	1.531232717
190	1.518002426
191	1.513285647
192	1.505474231
193	1.501995954
194	1.492397661
195	1.482955191
196	1.472094183
197	1.462518534
198	1.451504116
199	1.44537786
200	1.43637366
201	1.429801471
202	1.422624451
203	1.414859053
204	1.405257368
205	1.400607682
206	1.390971164
207	1.384897475
208	1.378338084
209	1.369831551
210	1.363039744
211	1.360414027
212	1.350735464
213	1.343235107
214	1.338388282
215	1.327848665
216	1.314457518
217	1.309993738
218	1.305127467
219	1.297546027
220	1.28641727
221	1.281976037
222	1.271392034
223	1.26511941
224	1.255991844
225	1.252595123
226	1.244983942
227	1.235545445
228	1.228715724
229	1.220761581
230	1.214162783
231	1.20352016
232	1.195640135
233	1.191624356
234	1.1823232
235	1.177403073
236	1.173085297
237	1.167826019
238	1.163575291
239	1.158893338
240	1.153092689
241	1.146937419
242	1.14268251
243	1.138856613
244	1.135290665
245	1.130574072
246	1.126089388
247	1.121450964
248	1.114791507
249	1.112220578
250	1.104755174
251	1.100481844
252	1.094530464
253	1.09121137
254	1.087797859
255	1.083255971
256	1.077980869
257	1.070221786
258	1.064543303
259	1.057371452
260	1.047137109
261	1.042602134
262	1.037775458
263	1.034174446
264	1.032131768
265	1.027181707
266	1.024053003
267	1.020703728
268	1.016038227
269	1.012686052
270	1.009975296
271	1.006066704
272	1.000203399
273	0.9973886352
274	0.9947941452
275	0.9902783251
276	0.9854654775
277	0.9799513207
278	0.9776808904
279	0.9738600203
280	0.9685428974
281	0.9650834624
282	0.9621090973
283	0.9584275108
284	0.9545321856
285	0.9510304505
286	0.9451445253
287	0.9409215582
288	0.936505843
289	0.9311664406
290	0.9244513625
291	0.9222297481
292	0.9166113164
293	0.9126856217
294	0.9079449219
295	0.9022502002
296	0.8986750068
297	0.8941089033
298	0.8920620519
299	0.887673261
300	0.8847884081
301	0.8812361733
302	0.8786881498
303	0.8742327141
304	0.8722418371
305	0.8685212183
306	0.8645022473
307	0.8614065146
308	0.8588257579
309	0.8553594304
310	0.8522757449
311	0.84818429
312	0.8447126467
313	0.8415280267
314	0.8373284016
315	0.8349900824
316	0.8311969182
317	0.8267498396
318	0.8229811362
319	0.8196129426
320	0.8159731715
321	0.8121556802
322	0.8105946956
323	0.8072155573
324	0.8039777263
325	0.801198649
326	0.7975248725
327	0.7947356822
328	0.7920490326
329	0.7894972967
330	0.7873487491
331	0.7850012289
332	0.7802756045
333	0.7762890829
334	0.7738964836
335	0.7706861438
336	0.7674994271
337	0.7644707486
338	0.7617998887
339	0.7586978632
340	0.7562812315
341	0.7535597256
342	0.7515405124
343	0.7492416651
344	0.7460815639
345	0.7426222194
346	0.7406081458
347	0.7379635154
348	0.7354496276
349	0.7330673961
350	0.7288449517
351	0.7251773489
352	0.7224853513
353	0.7206964943
354	0.7180598416
355	0.7158740334
356	0.713807449
357	0.711350629
358	0.7090431621
359	0.7059445808
360	0.7043634321
361	0.703299776
362	0.700977959
363	0.6981753381
364	0.6949118421
365	0.6917474944
366	0.6890236539
367	0.68740033
368	0.6847353195
369	0.6825092728
370	0.679575296
371	0.6763782961
372	0.6747889384
373	0.6724080078
374	0.6701275894
375	0.667630672
376	0.665636531
377	0.6632567594
378	0.6611983321
379	0.6596925362
380	0.6580346627
381	0.6548067877
382	0.6525310731
383	0.6501083201
384	0.6475941571
385	0.6446092889
386	0.6425397856
387	0.6406516078
388	0.6379569496
389	0.6355086431
390	0.6337990596
391	0.6319441376
392	0.6295691503
393	0.6274765628
394	0.6257615723
395	0.6244191499
396	0.6222376609
397	0.6202796606
398	0.6178764817
399	0.6154738705
400	0.6126750147
401	0.6112492786
402	0.6087989048
403	0.6064591779
404	0.6042066394
405	0.6027015363
406	0.6012223784
407	0.5998891236
408	0.5975929861
409	0.5950524278
410	0.593738109
411	0.5920648836
412	0.5899844761
413	0.5883336383
414	0.5858798707
415	0.5841025231
416	0.5826929718
417	0.5804390413
418	0.5789772365
419	0.5780310767
420	0.575892163
421	0.5740653283
422	0.5719137377
423	0.5699973233
424	0.567910289
425	0.5659677726
426	0.5642479543
427	0.5631448984
428	0.5622307576
429	0.5604399407
430	0.5591047885
431	0.5572588902
432	0.5562139813
433	0.5549141876
434	0.5533319826
435	0.5519063528
436	0.5504731574
437	0.549514925
438	0.5475276672
439	0.5460719917
440	0.54456963
441	0.5421814741
442	0.5404463704
443	0.5389091644
444	0.5372203426
445	0.5354778748
446	0.5337448365
