iter	Passed	Remaining
0	21	21159
1	32	16291
2	45	15269
3	58	14610
4	71	14325
5	84	14073
6	96	13623
7	106	13162
8	116	12820
9	126	12548
10	135	12212
11	144	11909
12	154	11755
13	164	11609
14	175	11508
15	185	11381
16	194	11275
17	205	11224
18	216	11172
19	225	11073
20	235	10999
21	244	10890
22	256	10884
23	267	10891
24	279	10885
25	289	10856
26	308	11132
27	321	11166
28	333	11153
29	341	11047
30	351	10979
31	362	10961
32	373	10933
33	383	10906
34	393	10847
35	403	10807
36	414	10793
37	425	10761
38	435	10741
39	445	10702
40	455	10653
41	467	10673
42	479	10662
43	489	10637
44	500	10629
45	510	10578
46	520	10561
47	533	10584
48	547	10628
49	557	10588
50	568	10570
51	577	10535
52	589	10533
53	598	10487
54	607	10437
55	618	10426
56	629	10418
57	638	10365
58	650	10369
59	659	10329
60	668	10295
61	679	10282
62	689	10252
63	700	10239
64	709	10211
65	719	10186
66	728	10148
67	738	10118
68	749	10118
69	760	10108
70	775	10146
71	790	10185
72	803	10209
73	814	10187
74	824	10168
75	832	10126
76	842	10098
77	853	10094
78	864	10080
79	873	10048
80	884	10037
81	894	10016
82	903	9982
83	913	9956
84	922	9929
85	931	9895
86	940	9868
87	951	9861
88	963	9862
89	974	9855
90	984	9837
91	995	9825
92	1007	9828
93	1022	9850
94	1037	9879
95	1050	9895
96	1063	9895
97	1074	9890
98	1083	9862
99	1095	9860
100	1106	9847
101	1116	9831
102	1127	9814
103	1135	9783
104	1144	9758
105	1155	9744
106	1164	9717
107	1173	9689
108	1183	9672
109	1192	9652
110	1204	9644
111	1226	9724
112	1239	9730
113	1248	9704
114	1261	9705
115	1272	9700
116	1288	9727
117	1303	9744
118	1315	9736
119	1326	9728
120	1336	9708
121	1350	9721
122	1361	9706
123	1370	9679
124	1381	9670
125	1390	9645
126	1400	9626
127	1411	9618
128	1420	9590
129	1429	9568
130	1439	9546
131	1448	9521
132	1458	9510
133	1468	9491
134	1478	9471
135	1487	9447
136	1496	9428
137	1507	9417
138	1518	9406
139	1531	9410
140	1545	9416
141	1558	9413
142	1567	9397
143	1576	9373
144	1585	9348
145	1597	9344
146	1610	9342
147	1619	9321
148	1628	9302
149	1638	9284
150	1646	9258
151	1655	9238
152	1665	9222
153	1675	9203
154	1685	9189
155	1694	9168
156	1704	9151
157	1713	9133
158	1724	9118
159	1732	9096
160	1742	9081
161	1752	9064
162	1765	9066
163	1777	9063
164	1790	9060
165	1802	9057
166	1811	9037
167	1822	9025
168	1832	9010
169	1843	8998
170	1852	8982
171	1861	8962
172	1873	8957
173	1882	8936
174	1892	8922
175	1903	8910
176	1913	8898
177	1923	8880
178	1931	8860
179	1942	8848
180	1951	8830
181	1962	8820
182	1974	8813
183	1982	8793
184	1991	8773
185	2000	8756
186	2013	8752
187	2025	8748
188	2040	8754
189	2052	8752
190	2062	8736
191	2071	8717
192	2081	8704
193	2090	8686
194	2100	8670
195	2111	8660
196	2120	8642
197	2130	8627
198	2140	8615
199	2150	8603
200	2161	8591
201	2170	8576
202	2180	8559
203	2190	8547
204	2201	8536
205	2212	8527
206	2222	8515
207	2232	8501
208	2241	8483
209	2254	8480
210	2265	8473
211	2279	8471
212	2294	8476
213	2306	8470
214	2315	8455
215	2325	8440
216	2336	8430
217	2347	8419
218	2358	8409
219	2367	8392
220	2377	8379
221	2387	8367
222	2399	8360
223	2409	8346
224	2418	8329
225	2427	8313
226	2439	8306
227	2450	8296
228	2460	8282
229	2469	8268
230	2478	8250
231	2486	8232
232	2496	8218
233	2508	8210
234	2522	8211
235	2535	8209
236	2545	8194
237	2556	8184
238	2566	8173
239	2577	8163
240	2588	8151
241	2599	8142
242	2610	8132
243	2619	8117
244	2630	8105
245	2638	8088
246	2648	8075
247	2658	8061
248	2667	8046
249	2677	8032
250	2686	8015
251	2694	7999
252	2705	7987
253	2715	7974
254	2724	7959
255	2733	7943
256	2743	7932
257	2758	7933
258	2774	7937
259	2789	7938
260	2800	7928
261	2810	7916
262	2820	7903
263	2830	7891
264	2840	7878
265	2852	7871
266	2861	7854
267	2869	7837
268	2878	7823
269	2890	7813
270	2899	7800
271	2909	7788
272	2919	7773
273	2929	7761
274	2938	7745
275	2949	7737
276	2959	7724
277	2968	7708
278	2977	7693
279	2988	7683
280	3001	7679
281	3013	7671
282	3028	7672
283	3042	7669
284	3051	7656
285	3061	7642
286	3072	7632
287	3083	7622
288	3094	7613
289	3103	7598
290	3112	7584
291	3122	7570
292	3131	7556
293	3140	7542
294	3150	7529
295	3159	7513
296	3168	7499
297	3176	7483
298	3186	7471
299	3197	7461
300	3207	7447
301	3216	7434
302	3226	7422
303	3235	7408
304	3246	7397
305	3259	7392
306	3274	7391
307	3288	7388
308	3300	7379
309	3312	7372
310	3325	7367
311	3341	7367
312	3355	7365
313	3370	7363
314	3380	7351
315	3391	7340
316	3401	7328
317	3411	7316
318	3420	7301
319	3429	7288
320	3440	7277
321	3451	7266
322	3460	7253
323	3469	7238
324	3478	7224
325	3487	7210
326	3503	7210
327	3516	7205
328	3530	7200
329	3540	7187
330	3549	7174
331	3561	7165
332	3571	7152
333	3580	7139
334	3591	7128
335	3599	7113
336	3609	7101
337	3618	7088
338	3629	7076
339	3639	7065
340	3649	7052
341	3659	7040
342	3669	7028
343	3680	7019
344	3691	7008
345	3701	6996
