iter	Passed	Remaining
0	12	12526
1	20	10333
2	29	9733
3	38	9503
4	46	9281
5	55	9212
6	63	9058
7	72	8947
8	81	8924
9	90	8911
10	98	8857
11	107	8826
12	115	8785
13	124	8748
14	132	8724
15	141	8683
16	149	8668
17	158	8651
18	167	8630
19	175	8610
20	184	8593
21	193	8586
22	202	8593
23	210	8573
24	220	8588
25	229	8610
26	239	8621
27	248	8611
28	257	8612
29	265	8582
30	275	8608
31	283	8588
32	293	8588
33	301	8572
34	310	8550
35	318	8529
36	327	8517
37	335	8503
38	344	8482
39	352	8461
40	361	8449
41	369	8429
42	378	8415
43	386	8396
44	395	8387
45	403	8370
46	412	8356
47	420	8341
48	429	8331
49	437	8313
50	446	8306
51	455	8311
52	464	8301
53	474	8306
54	482	8295
55	491	8283
56	499	8269
57	508	8256
58	516	8236
59	524	8224
60	533	8216
61	542	8207
62	551	8197
63	559	8183
64	567	8167
65	576	8158
66	585	8149
67	593	8135
68	601	8121
69	610	8107
70	619	8100
71	627	8090
72	636	8076
73	643	8057
74	652	8047
75	661	8036
76	669	8025
77	677	8013
78	686	8006
79	696	8009
80	705	8002
81	714	8000
82	724	8002
83	733	8000
84	742	7990
85	750	7981
86	759	7970
87	768	7961
88	776	7951
89	786	7952
90	794	7939
91	803	7929
92	811	7915
93	819	7903
94	828	7889
95	836	7879
96	845	7872
97	853	7860
98	862	7845
99	870	7832
100	878	7822
101	887	7811
102	896	7804
103	904	7796
104	913	7786
105	922	7777
106	930	7767
107	940	7763
108	951	7777
109	960	7773
110	969	7768
111	979	7764
112	987	7754
113	997	7749
114	1005	7741
115	1015	7737
116	1023	7727
117	1032	7719
118	1040	7705
119	1049	7699
120	1058	7690
121	1067	7682
122	1075	7671
123	1086	7674
124	1095	7668
125	1103	7655
126	1112	7644
127	1120	7633
128	1128	7622
129	1136	7609
130	1145	7600
131	1155	7595
132	1163	7585
133	1172	7575
134	1180	7563
135	1190	7562
136	1199	7554
137	1208	7547
138	1217	7543
139	1227	7540
140	1236	7530
141	1244	7518
142	1252	7507
143	1260	7495
144	1268	7481
145	1277	7469
146	1285	7457
147	1294	7452
148	1303	7442
149	1311	7432
150	1319	7419
151	1328	7411
152	1336	7399
153	1344	7388
154	1353	7378
155	1361	7367
156	1369	7356
157	1378	7343
158	1386	7331
159	1394	7322
160	1403	7312
161	1411	7300
162	1419	7288
163	1428	7280
164	1436	7271
165	1446	7265
166	1455	7257
167	1464	7251
168	1472	7242
169	1481	7231
170	1490	7224
171	1498	7215
172	1507	7206
173	1516	7199
174	1525	7191
175	1534	7183
176	1543	7174
177	1553	7174
178	1563	7170
179	1573	7168
180	1583	7166
181	1593	7164
182	1602	7155
183	1610	7144
184	1619	7135
185	1628	7124
186	1636	7113
187	1644	7103
188	1653	7094
189	1661	7084
190	1670	7077
191	1680	7071
192	1688	7061
193	1697	7052
194	1705	7042
195	1715	7035
196	1724	7027
197	1732	7018
198	1740	7004
199	1748	6993
200	1756	6982
201	1764	6972
202	1773	6962
203	1781	6951
204	1789	6941
205	1797	6929
206	1806	6920
207	1814	6910
208	1823	6900
209	1831	6889
210	1839	6878
211	1847	6868
212	1856	6858
213	1865	6850
214	1873	6839
215	1881	6830
216	1890	6820
217	1898	6811
218	1907	6800
219	1915	6791
220	1923	6780
221	1932	6772
222	1942	6769
223	1951	6761
224	1960	6753
225	1969	6746
226	1978	6737
227	1986	6727
228	1994	6716
229	2003	6707
230	2011	6697
231	2020	6687
232	2028	6677
233	2036	6667
234	2045	6657
235	2053	6647
236	2061	6637
237	2070	6628
238	2078	6617
239	2086	6606
240	2094	6596
241	2102	6587
242	2111	6576
243	2118	6564
244	2127	6555
245	2135	6545
246	2143	6535
247	2152	6526
248	2161	6518
249	2169	6508
250	2178	6501
251	2188	6495
252	2197	6489
253	2208	6484
254	2218	6482
255	2228	6475
256	2239	6473
257	2252	6478
258	2263	6475
259	2273	6470
260	2282	6461
261	2290	6452
262	2299	6444
263	2308	6434
264	2316	6425
265	2324	6415
266	2333	6404
267	2341	6394
268	2349	6385
269	2357	6375
270	2365	6364
271	2374	6355
272	2383	6345
273	2391	6335
274	2399	6325
275	2408	6316
276	2416	6306
277	2424	6297
278	2433	6289
279	2444	6285
280	2453	6276
281	2462	6268
282	2470	6259
283	2478	6249
284	2487	6239
285	2495	6229
286	2503	6219
287	2511	6209
288	2520	6200
289	2528	6190
290	2537	6181
291	2545	6172
292	2554	6163
293	2562	6154
294	2571	6145
295	2579	6135
296	2588	6125
297	2596	6116
298	2605	6107
299	2613	6097
300	2621	6087
301	2629	6077
302	2638	6069
303	2646	6058
304	2654	6048
305	2664	6042
306	2673	6034
307	2682	6026
308	2691	6018
309	2700	6010
310	2709	6002
311	2717	5992
312	2725	5982
313	2734	5973
314	2742	5963
315	2750	5953
316	2759	5945
317	2768	5936
318	2776	5928
319	2785	5919
320	2793	5909
321	2802	5900
322	2810	5890
323	2818	5880
324	2826	5871
325	2834	5861
326	2842	5850
327	2851	5841
328	2859	5831
329	2867	5821
330	2875	5811
331	2884	5803
332	2892	5793
333	2900	5784
334	2908	5774
335	2917	5765
336	2925	5756
337	2934	5747
338	2943	5740
339	2953	5732
340	2962	5725
341	2970	5715
342	2978	5706
343	2987	5696
344	2995	5687
345	3004	5678
346	3012	5669
347	3020	5659
348	3029	5650
349	3037	5641
350	3046	5632
351	3054	5622
352	3062	5613
353	3070	5603
354	3079	5595
355	3088	5586
356	3096	5577
357	3104	5568
358	3113	5558
359	3121	5548
360	3129	5539
361	3137	5530
362	3145	5520
363	3154	5511
364	3163	5503
365	3172	5495
366	3180	5486
367	3189	5478
368	3199	5470
369	3208	5463
370	3217	5454
371	3225	5446
372	3234	5436
373	3242	5427
374	3250	5417
375	3258	5408
376	3267	5398
377	3275	5389
378	3283	5379
379	3291	5370
380	3299	5361
381	3308	5352
382	3316	5342
383	3324	5333
384	3332	5323
385	3340	5314
386	3349	5305
387	3357	5295
388	3366	5287
389	3374	5277
390	3382	5268
391	3390	5259
392	3399	5250
393	3407	5241
394	3417	5233
395	3426	5226
396	3434	5216
397	3443	5209
398	3452	5200
399	3460	5191
400	3469	5181
401	3478	5174
402	3486	5165
403	3495	5156
404	3503	5147
405	3511	5137
406	3519	5128
407	3528	5119
408	3536	5109
409	3544	5100
410	3552	5090
411	3560	5081
412	3569	5072
413	3577	5064
414	3586	5055
415	3594	5046
416	3603	5037
417	3611	5028
418	3620	5019
419	3628	5010
420	3636	5001
421	3645	4992
422	3653	4983
423	3661	4974
424	3671	4966
425	3680	4959
426	3689	4951
427	3698	4943
428	3707	4934
429	3715	4925
430	3724	4916
431	3732	4907
432	3741	4898
433	3749	4889
434	3758	4881
435	3766	4871
436	3774	4862
437	3782	4853
438	3790	4844
439	3798	4834
440	3807	4825
441	3815	4817
442	3824	4808
443	3832	4799
444	3840	4789
445	3848	4780
446	3856	4771
447	3865	4762
448	3874	4754
449	3882	4745
450	3890	4735
451	3898	4726
452	3906	4717
453	3917	4711
454	3925	4702
455	3934	4693
456	3943	4685
457	3953	4678
458	3961	4669
459	3969	4660
460	3978	4651
461	3987	4643
462	3995	4633
463	4003	4624
464	4011	4615
465	4020	4606
466	4028	4598
467	4037	4589
468	4045	4580
469	4053	4571
470	4061	4562
471	4071	4554
472	4079	4544
473	4087	4535
474	4097	4528
475	4105	4519
476	4113	4510
477	4121	4501
478	4130	4492
479	4138	4483
480	4146	4474
481	4155	4465
482	4163	4456
483	4172	4448
484	4181	4439
485	4190	4431
486	4199	4423
487	4208	4415
488	4217	4406
489	4225	4397
490	4233	4388
491	4241	4379
492	4250	4371
493	4258	4362
494	4266	4353
495	4274	4343
496	4282	4334
497	4291	4325
498	4300	4317
499	4309	4309
500	4317	4300
501	4325	4291
502	4334	4282
503	4342	4273
504	4351	4264
505	4359	4256
506	4368	4247
507	4376	4238
508	4384	4229
509	4393	4220
510	4402	4212
511	4410	4203
512	4419	4195
513	4428	4186
514	4436	4178
515	4445	4169
516	4454	4161
517	4462	4152
518	4470	4143
519	4478	4134
520	4487	4125
521	4495	4116
522	4504	4107
523	4512	4098
524	4520	4090
525	4528	4080
526	4537	4072
527	4544	4062
528	4552	4053
529	4561	4044
530	4569	4035
531	4577	4026
532	4585	4018
533	4594	4009
534	4602	4000
535	4610	3991
536	4618	3982
537	4627	3973
538	4635	3965
539	4644	3956
540	4652	3947
541	4660	3938
542	4668	3929
543	4677	3920
544	4685	3911
545	4693	3902
546	4701	3893
547	4709	3884
548	4718	3876
549	4726	3867
550	4734	3858
551	4743	3849
552	4751	3840
553	4759	3831
554	4768	3823
555	4775	3813
556	4784	3805
557	4792	3796
558	4801	3787
559	4809	3779
560	4818	3770
561	4826	3761
562	4835	3752
563	4844	3744
564	4852	3735
565	4861	3727
566	4869	3718
567	4877	3709
568	4886	3701
569	4894	3692
570	4903	3684
571	4911	3674
572	4920	3666
573	4928	3657
574	4936	3649
575	4945	3640
