iter	Passed	Remaining
0	33	33943
1	49	24930
2	65	21749
3	91	22788
4	119	23843
5	151	25056
6	170	24206
7	186	23175
8	200	22127
9	215	21357
10	232	20899
11	251	20747
12	269	20445
13	284	20043
14	298	19595
15	314	19325
16	343	19868
17	362	19778
18	378	19549
19	395	19384
20	411	19162
21	426	18952
22	441	18771
23	461	18767
24	476	18574
25	490	18367
26	505	18214
27	523	18184
28	545	18251
29	561	18166
30	580	18141
31	600	18154
32	619	18143
33	647	18403
34	669	18451
35	685	18364
36	701	18260
37	716	18148
38	730	18001
39	744	17857
40	760	17779
41	775	17684
42	803	17875
43	830	18047
44	853	18116
45	876	18172
46	915	18560
47	943	18711
48	969	18819
49	997	18943
50	1020	18992
51	1043	19015
52	1064	19024
53	1084	18994
54	1101	18929
55	1125	18974
56	1144	18941
57	1164	18907
58	1181	18851
59	1197	18759
60	1212	18666
61	1232	18641
62	1252	18634
63	1277	18680
64	1301	18723
65	1325	18753
66	1356	18888
67	1388	19031
68	1416	19113
69	1449	19256
70	1473	19285
71	1492	19241
72	1511	19193
73	1528	19124
74	1545	19065
75	1563	19005
76	1583	18985
77	1606	18993
78	1629	18992
79	1648	18954
80	1662	18863
81	1679	18797
82	1694	18720
83	1709	18645
84	1724	18562
85	1740	18498
86	1755	18421
87	1779	18445
88	1802	18449
89	1821	18420
90	1851	18495
91	1875	18508
92	1907	18604
93	1928	18586
94	1946	18546
95	1966	18516
96	1984	18474
97	2001	18417
98	2020	18385
99	2038	18348
100	2059	18333
101	2077	18286
102	2096	18253
103	2114	18219
104	2132	18179
105	2147	18109
106	2163	18052
107	2176	17975
108	2191	17913
109	2206	17853
110	2221	17791
111	2235	17728
112	2249	17654
113	2270	17645
114	2287	17605
115	2302	17549
116	2317	17492
117	2332	17435
118	2351	17405
119	2370	17383
120	2387	17343
121	2402	17287
122	2417	17239
123	2432	17181
124	2447	17131
125	2462	17079
126	2479	17041
127	2495	17003
128	2514	16976
129	2546	17044
130	2566	17022
131	2581	16974
132	2604	16976
133	2623	16954
134	2640	16916
135	2655	16872
136	2670	16823
137	2684	16767
138	2699	16721
139	2717	16692
140	2735	16664
141	2753	16640
142	2772	16616
143	2789	16580
144	2806	16548
145	2823	16518
146	2844	16503
147	2863	16486
148	2881	16457
149	2899	16433
150	2914	16386
151	2928	16338
152	2942	16289
153	2955	16236
154	2970	16191
155	2985	16153
156	3001	16116
157	3015	16068
158	3029	16025
159	3043	15980
160	3059	15944
161	3077	15921
162	3100	15918
163	3118	15898
164	3135	15867
165	3150	15830
166	3167	15800
167	3181	15756
168	3196	15719
169	3213	15688
170	3227	15647
171	3242	15611
172	3257	15572
173	3271	15529
174	3285	15487
175	3298	15443
176	3317	15424
177	3337	15414
178	3359	15406
179	3377	15388
180	3397	15371
181	3416	15357
182	3435	15339
183	3452	15310
184	3468	15280
185	3484	15249
186	3505	15240
187	3527	15237
188	3547	15223
189	3570	15222
190	3592	15218
191	3615	15216
192	3635	15199
193	3650	15166
194	3665	15131
195	3681	15100
196	3701	15086
197	3722	15076
198	3743	15066
199	3765	15063
200	3788	15058
201	3807	15043
202	3825	15021
203	3844	15002
204	3864	14986
205	3882	14965
206	3900	14942
207	3918	14919
208	3938	14905
209	3963	14908
210	3988	14912
211	4018	14936
212	4040	14927
213	4058	14906
214	4079	14896
215	4102	14889
216	4121	14871
217	4137	14842
218	4152	14809
219	4166	14771
220	4181	14737
221	4194	14699
222	4210	14670
223	4227	14643
224	4244	14619
225	4264	14604
226	4284	14588
227	4301	14565
228	4324	14559
229	4345	14549
230	4369	14545
231	4390	14534
232	4412	14524
233	4430	14503
234	4451	14490
235	4476	14492
236	4492	14462
237	4507	14429
238	4522	14401
239	4536	14366
240	4551	14334
241	4564	14297
242	4581	14272
243	4598	14246
244	4617	14229
245	4632	14199
246	4649	14174
247	4666	14151
248	4684	14127
249	4701	14104
250	4718	14079
251	4736	14060
252	4754	14038
253	4772	14015
254	4790	13996
255	4806	13968
256	4824	13948
257	4841	13923
258	4856	13893
259	4873	13869
260	4891	13849
261	4906	13821
262	4922	13793
263	4940	13773
264	4955	13743
265	4969	13712
266	4983	13681
267	4998	13651
268	5014	13627
269	5047	13647
270	5068	13635
271	5085	13610
272	5100	13582
273	5116	13556
274	5130	13525
275	5144	13494
276	5157	13460
277	5169	13426
278	5184	13396
279	5197	13366
280	5212	13338
281	5225	13304
282	5238	13272
283	5252	13242
284	5267	13215
285	5284	13191
286	5302	13173
287	5323	13161
288	5341	13141
289	5355	13112
290	5371	13086
291	5384	13055
292	5398	13025
293	5413	13000
294	5426	12969
295	5440	12939
296	5452	12907
297	5466	12878
298	5481	12852
299	5496	12825
300	5511	12798
301	5527	12776
302	5545	12757
303	5564	12739
304	5583	12722
305	5597	12695
306	5613	12670
307	5626	12641
308	5641	12615
309	5655	12588
310	5669	12561
311	5684	12534
312	5700	12510
313	5715	12487
314	5729	12459
315	5745	12437
316	5760	12410
317	5774	12383
318	5793	12367
319	5811	12348
320	5831	12334
321	5845	12308
322	5859	12281
323	5874	12256
324	5887	12227
325	5900	12198
326	5913	12170
327	5928	12146
328	5943	12122
329	5959	12099
330	5972	12071
331	5986	12045
332	6000	12019
333	6015	11994
334	6029	11968
335	6043	11942
336	6061	11925
337	6080	11909
338	6097	11889
339	6111	11862
340	6125	11837
341	6138	11809
342	6151	11783
343	6165	11757
344	6179	11731
345	6193	11705
346	6206	11680
347	6222	11658
348	6237	11634
349	6251	11609
350	6266	11586
351	6278	11558
352	6294	11537
353	6311	11518
354	6331	11504
355	6346	11480
356	6359	11454
357	6374	11432
358	6388	11406
359	6403	11384
360	6422	11368
361	6439	11350
362	6457	11331
363	6474	11312
364	6491	11292
365	6505	11268
366	6521	11247
367	6537	11227
368	6558	11214
369	6577	11199
370	6598	11186
371	6615	11168
372	6633	11151
373	6650	11130
374	6668	11114
375	6686	11096
376	6704	11079
377	6721	11059
378	6738	11041
379	6758	11026
380	6775	11008
381	6792	10988
382	6811	10973
383	6829	10956
384	6846	10937
385	6861	10914
386	6875	10890
387	6891	10869
388	6906	10848
389	6920	10824
390	6935	10802
391	6950	10780
392	6965	10758
393	6979	10735
394	6994	10713
395	7008	10689
