iter	MultiRMSE
0	15.3150016
1	14.92542922
2	14.54713936
3	14.18458882
4	13.82602955
5	13.49253444
6	13.16665852
7	12.84645991
8	12.53718859
9	12.24148645
10	11.95841036
11	11.67888604
12	11.41170725
13	11.15409832
14	10.89605044
15	10.65661698
16	10.42327557
17	10.18327958
18	9.956064837
19	9.733547972
20	9.523673291
21	9.324798606
22	9.132401539
23	8.935030037
24	8.731856175
25	8.541242957
26	8.355967624
27	8.176319683
28	8.006154795
29	7.83644703
30	7.677799329
31	7.517836525
32	7.37276793
33	7.233209049
34	7.099527215
35	6.969063198
36	6.841201801
37	6.69692103
38	6.582076583
39	6.460705718
40	6.352042679
41	6.245897015
42	6.131802843
43	6.010636346
44	5.907516132
45	5.80146887
46	5.702709199
47	5.607153678
48	5.502729717
49	5.403886889
50	5.31998662
51	5.23972046
52	5.148406176
53	5.062488137
54	4.989831703
55	4.908638866
56	4.834620984
57	4.756164356
58	4.69468329
59	4.626685735
60	4.5531717
61	4.479467643
62	4.416648227
63	4.352469856
64	4.285256462
65	4.220993319
66	4.170971311
67	4.126389951
68	4.069220774
69	4.016286825
70	3.971050911
71	3.919930172
72	3.86589491
73	3.818011262
74	3.768833156
75	3.723756144
76	3.68580109
77	3.639040949
78	3.590506231
79	3.548270177
80	3.504642684
81	3.46470914
82	3.420508793
83	3.387679085
84	3.358836588
85	3.31888353
86	3.279586425
87	3.245213743
88	3.22087118
89	3.189191219
90	3.147007344
91	3.113401927
92	3.081969939
93	3.04802288
94	3.011620287
95	2.983183708
96	2.957915998
97	2.927753877
98	2.89075057
99	2.869817718
100	2.83856766
101	2.813775043
102	2.784212391
103	2.762201949
104	2.732077675
105	2.714773632
106	2.6947095
107	2.672866648
108	2.649690873
109	2.628955894
110	2.609031551
111	2.588615126
112	2.571588133
113	2.547807641
114	2.521570522
115	2.502514971
116	2.48163949
117	2.454157144
118	2.439891014
119	2.414848496
120	2.401991465
121	2.379679108
122	2.363690444
123	2.346911797
124	2.324235311
125	2.307372586
126	2.289760565
127	2.263946206
128	2.246575459
129	2.235274352
130	2.214621272
131	2.195702333
132	2.180517352
133	2.164065448
134	2.145424094
135	2.129829151
136	2.112186425
137	2.100572944
138	2.086764724
139	2.069973367
140	2.054920105
141	2.033751906
142	2.02058772
143	2.007497618
144	1.997992866
145	1.990638589
146	1.972376046
147	1.961401578
148	1.950928377
149	1.933678731
150	1.914778461
151	1.90374986
152	1.88540414
153	1.870308888
154	1.859430028
155	1.848772144
156	1.836353268
157	1.821792812
158	1.813546721
159	1.804948294
160	1.794956362
161	1.784327069
162	1.776221938
163	1.768380676
164	1.758636401
165	1.746241244
166	1.736239849
167	1.729414417
168	1.721489054
169	1.712346651
170	1.704392299
171	1.687269111
172	1.670314598
173	1.66299347
174	1.645965584
175	1.641203792
176	1.630583548
177	1.622391498
178	1.613396128
179	1.597863959
180	1.588236333
181	1.581247955
182	1.574357405
183	1.561529909
184	1.548420121
185	1.54272888
186	1.535420776
187	1.529692972
188	1.517816775
189	1.505603602
190	1.501897046
191	1.494408274
192	1.485079251
193	1.475426462
194	1.465118921
195	1.456939088
196	1.446774403
197	1.442670104
198	1.431779241
199	1.422636473
200	1.41498969
201	1.40554427
202	1.394985467
203	1.388810784
204	1.380357046
205	1.373899338
206	1.366038027
207	1.359717256
208	1.356122629
209	1.350221543
210	1.343596652
211	1.337987525
212	1.333547804
213	1.324741012
214	1.315021059
215	1.307764597
216	1.302340677
217	1.292704274
218	1.287959521
219	1.279298862
220	1.27047082
221	1.262629169
222	1.257085403
223	1.249577318
224	1.245444804
225	1.240204765
226	1.235209925
227	1.225947228
228	1.221421301
229	1.209404433
230	1.203714578
231	1.198277645
232	1.190147875
233	1.186177579
