iter	Passed	Remaining
0	0	438
1	0	398
2	1	458
3	1	385
4	1	350
5	2	338
6	2	309
7	2	338
8	3	363
9	3	363
10	4	367
11	4	351
12	4	355
13	4	351
14	5	359
15	5	361
16	6	350
17	6	353
18	6	347
19	6	341
20	7	346
21	7	336
22	8	374
23	9	366
24	9	355
25	9	366
26	10	380
27	10	372
28	11	369
29	11	361
30	11	355
31	11	351
32	12	355
33	12	363
34	13	366
35	13	371
36	14	377
37	14	378
38	15	381
39	15	383
40	16	384
41	16	384
42	17	386
43	17	389
44	18	390
45	18	391
46	19	391
47	19	389
48	20	389
49	20	393
50	21	394
51	21	391
52	21	392
53	22	393
54	22	393
55	23	395
56	23	394
57	23	389
58	24	390
59	25	394
60	25	391
61	25	392
62	26	387
63	26	387
64	26	385
65	27	386
66	27	386
67	28	387
68	28	384
69	29	385
70	29	386
71	29	384
72	30	386
73	30	385
74	31	384
75	31	385
76	32	385
77	33	390
78	33	390
79	33	386
80	34	386
81	34	388
82	35	389
83	35	390
84	36	390
85	36	390
86	37	391
87	37	392
88	38	394
89	39	394
90	39	393
91	39	392
92	40	392
93	40	389
94	40	387
95	40	384
96	41	384
97	41	383
98	41	380
99	42	381
100	42	379
101	43	380
102	43	377
103	43	376
104	43	374
105	44	374
106	44	371
107	44	371
108	45	375
109	46	375
110	46	373
111	47	373
112	47	373
113	48	374
114	48	373
115	48	370
116	49	370
117	49	370
118	49	369
119	50	370
120	50	370
121	51	370
122	51	368
123	52	367
124	52	367
125	52	365
126	53	364
127	53	364
128	54	364
129	54	364
130	55	367
131	55	367
132	56	366
133	57	370
134	57	369
135	59	374
136	59	372
137	59	371
138	59	371
139	60	369
140	60	367
141	60	367
142	61	366
143	61	365
144	61	365
145	62	365
146	62	363
147	63	363
148	63	364
149	64	364
150	64	365
151	65	364
152	65	362
153	66	363
154	66	363
155	67	363
156	67	361
157	67	359
158	68	360
159	68	360
160	69	359
161	69	359
162	70	359
163	70	359
164	70	359
165	71	358
166	71	357
167	72	357
168	73	360
169	74	364
170	74	363
171	75	363
172	76	363
173	76	363
174	76	362
175	78	366
176	78	367
177	79	366
178	79	364
179	80	364
180	80	364
181	81	364
182	81	364
183	82	363
184	82	363
185	83	363
186	83	362
187	83	362
188	84	361
189	84	361
190	86	364
191	86	363
192	87	363
193	87	363
194	88	363
195	88	363
196	89	362
197	89	362
198	90	362
199	90	361
200	91	361
201	91	361
202	91	361
203	93	362
204	93	362
205	93	362
206	94	361
207	94	361
208	95	360
209	95	359
210	96	360
211	96	359
212	97	359
213	97	358
214	98	358
215	98	357
216	99	359
217	100	359
218	100	357
219	100	357
220	101	356
221	101	356
222	102	355
223	102	355
224	102	354
225	103	353
226	103	353
227	104	353
228	104	352
229	105	351
230	105	351
231	105	350
232	106	350
233	106	349
234	107	349
235	107	349
236	108	348
237	108	348
238	109	347
239	109	347
240	110	349
241	111	348
242	111	348
243	112	347
244	112	346
245	113	346
246	113	346
247	114	346
248	114	345
249	115	345
250	115	345
251	116	347
252	117	346
253	117	345
254	118	345
255	118	344
256	119	344
257	119	344
258	120	345
259	121	345
260	121	345
261	122	344
262	122	344
263	123	345
264	124	344
265	124	344
266	125	343
267	125	342
268	125	342
269	126	342
270	127	341
271	128	342
272	128	342
273	129	342
274	129	341
275	131	345
276	132	344
277	132	344
278	132	343
279	133	343
280	133	342
281	134	342
282	134	341
283	135	340
284	136	341
285	136	340
286	137	340
287	137	340
288	138	339
289	138	338
290	139	338
291	139	338
292	140	338
293	140	337
294	141	337
295	141	337
296	142	336
297	142	336
298	143	335
299	143	335
300	144	335
301	144	334
302	145	334
303	145	333
304	146	333
305	146	332
306	147	332
307	147	331
308	147	330
309	148	330
310	148	329
311	149	328
312	149	328
313	150	327
314	150	327
315	151	327
316	151	327
317	152	326
318	152	326
319	153	325
320	154	326
321	154	326
322	155	325
323	156	326
324	156	326
325	157	325
326	157	324
327	158	324
328	158	323
329	159	323
330	159	322
331	160	322
332	160	321
333	161	321
334	161	320
335	161	319
336	162	319
337	162	318
338	163	318
339	163	317
340	164	317
341	164	316
342	165	316
343	165	315
344	165	314
345	166	314
346	166	313
347	167	313
348	167	312
349	168	312
350	168	311
351	169	311
352	169	310
353	170	310
354	170	309
355	171	310
356	172	309
357	172	309
358	172	308
359	173	307
360	173	307
361	174	306
362	174	306
363	174	305
364	175	304
365	175	304
366	176	303
367	176	303
368	176	302
369	177	302
370	177	301
371	178	300
372	178	300
373	179	300
374	180	300
375	180	299
376	181	299
377	181	298
378	181	298
379	182	297
380	182	297
381	183	296
382	183	296
383	184	295
384	184	295
385	185	294
386	185	294
387	186	293
388	186	293
389	187	292
390	187	292
391	188	291
392	188	291
393	189	292
394	190	291
395	190	291
396	191	290
397	192	290
398	192	289
399	193	289
400	193	289
401	194	288
402	194	288
403	194	287
404	195	287
405	196	287
406	196	286
407	197	285
408	197	285
409	198	284
410	198	284
411	199	284
412	199	283
413	199	282
414	200	282
415	200	281
416	201	281
417	201	280
418	202	280
419	202	279
420	202	279
421	203	278
422	203	277
423	204	277
424	204	276
425	205	276
426	205	275
427	205	275
428	206	274
429	206	273
430	207	273
431	207	272
432	207	272
433	208	271
434	209	271
435	209	270
436	209	270
437	210	270
438	211	269
439	211	269
440	211	268
441	212	268
442	212	267
443	213	266
444	213	266
445	214	265
446	214	265
447	214	264
448	215	264
449	215	263
450	216	263
451	216	262
452	217	262
453	217	261
454	218	261
455	218	260
456	218	260
457	219	259
458	219	259
459	220	258
460	221	258
461	221	257
462	221	257
463	222	256
464	222	256
465	223	256
466	223	255
467	224	254
468	224	254
469	225	253
470	225	253
471	225	252
472	226	252
473	226	251
474	227	251
475	228	251
476	228	250
477	229	250
478	229	249
479	229	249
480	230	248
481	230	248
482	231	247
483	231	247
484	232	246
485	232	246
486	233	245
487	233	245
488	234	244
489	234	244
490	235	243
491	235	243
492	236	243
493	237	243
494	238	243
495	239	242
496	239	242
497	240	241
498	240	241
499	241	241
500	241	240
501	242	240
502	242	239
503	243	239
504	243	238
505	243	238
506	244	237
507	244	237
508	245	236
509	246	236
510	246	236
511	247	235
512	247	235
513	248	234
514	248	234
515	249	233
516	249	233
517	250	232
518	250	232
519	250	231
520	251	231
521	251	230
522	252	230
523	252	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	255	226
530	255	225
531	256	225
532	256	224
533	256	224
534	257	223
535	257	223
536	258	222
537	258	222
538	259	221
539	259	221
540	260	220
541	260	220
542	261	219
543	261	219
544	261	218
545	262	218
546	262	217
547	263	217
548	263	216
549	264	216
550	264	215
551	265	215
552	265	214
553	266	214
554	266	213
555	267	213
556	267	212
557	268	212
558	268	211
559	269	211
560	269	210
561	270	210
562	270	209
563	270	209
564	271	209
565	272	208
566	272	208
567	273	207
568	273	207
569	274	206
570	274	206
571	274	205
572	276	205
573	276	205
574	277	204
575	277	204
576	277	203
577	278	203
578	278	202
579	279	202
580	279	201
581	280	201
582	280	200
583	281	200
584	281	199
585	281	199
586	282	198
587	284	199
588	284	198
589	285	198
590	285	197
591	285	197
592	286	196
593	286	196
594	287	195
595	287	195
596	288	194
597	288	193
598	289	194
599	290	193
600	291	193
601	291	192
602	292	192
603	293	192
604	293	191
605	294	191
606	294	190
607	294	190
608	295	189
609	295	189
610	296	188
611	296	187
612	296	187
613	297	186
614	297	186
615	297	185
616	298	185
617	298	184
618	298	184
619	299	183
620	299	182
621	300	182
622	300	181
623	300	181
624	301	180
625	301	180
626	301	179
627	302	178
628	302	178
629	302	177
630	303	177
631	303	176
632	303	176
633	304	175
634	304	175
635	305	174
636	305	174
637	305	173
638	306	172
639	306	172
640	306	171
641	307	171
642	307	170
643	308	170
644	308	169
645	308	169
646	309	168
647	309	168
648	309	167
649	310	167
650	310	166
651	310	165
652	311	165
653	311	164
654	311	164
655	312	163
656	313	163
657	313	162
658	313	162
659	314	161
660	314	161
661	314	160
662	315	160
663	315	159
664	316	159
665	316	158
666	316	158
667	316	157
668	317	156
669	317	156
670	317	155
671	318	155
672	318	154
673	318	154
674	319	153
