iter	Passed	Remaining
0	3	3178
1	5	2572
2	7	2357
3	9	2291
4	11	2297
5	13	2284
6	16	2270
7	18	2277
8	20	2270
9	22	2261
10	25	2283
11	27	2265
12	29	2244
13	31	2220
14	33	2208
15	35	2195
16	38	2249
17	41	2242
18	43	2235
19	45	2236
20	47	2230
21	49	2221
22	51	2206
23	53	2195
24	56	2190
25	58	2189
26	60	2198
27	63	2189
28	65	2178
29	67	2167
30	69	2159
31	71	2150
32	73	2153
33	75	2149
34	77	2145
35	79	2139
36	81	2133
37	84	2129
38	86	2130
39	88	2124
40	90	2117
41	92	2111
42	95	2123
43	97	2119
44	99	2112
45	101	2108
46	104	2114
47	106	2109
48	108	2105
49	110	2102
50	113	2102
51	115	2099
52	117	2108
53	120	2104
54	122	2100
55	124	2096
56	126	2094
57	128	2093
58	130	2086
59	132	2080
60	136	2097
61	138	2091
62	140	2085
63	142	2078
64	144	2081
65	146	2076
66	148	2071
67	151	2075
68	153	2069
69	155	2068
70	157	2060
71	159	2055
72	161	2048
73	163	2042
74	165	2036
75	167	2030
76	169	2025
77	170	2020
78	172	2014
79	174	2009
80	176	2002
81	179	2004
82	181	2004
83	183	2000
84	185	1994
85	187	1991
86	189	1987
87	191	1981
88	193	1979
89	195	1975
90	197	1971
91	199	1966
92	201	1961
93	203	1958
94	204	1952
95	206	1948
96	208	1943
97	210	1939
98	212	1935
99	215	1936
100	217	1933
101	219	1928
102	220	1924
103	222	1920
104	224	1916
105	226	1912
106	229	1913
107	231	1908
108	232	1904
109	234	1901
110	236	1897
111	238	1893
112	240	1890
113	242	1886
114	244	1882
115	246	1879
116	248	1878
117	251	1880
118	253	1877
119	255	1875
120	257	1872
121	259	1868
122	261	1865
123	263	1861
124	265	1858
125	267	1855
126	269	1852
127	272	1853
128	273	1849
129	275	1845
130	277	1841
131	280	1842
132	282	1839
133	284	1836
134	286	1832
135	289	1839
136	291	1836
137	293	1833
138	295	1830
139	297	1826
140	299	1823
141	301	1820
142	303	1816
143	305	1813
144	306	1809
145	309	1810
146	311	1807
147	313	1803
148	315	1800
149	317	1796
150	319	1794
151	321	1791
152	322	1787
153	324	1783
154	326	1781
155	329	1781
156	331	1782
157	333	1779
158	335	1775
159	337	1772
160	340	1772
161	342	1769
162	343	1766
163	346	1766
164	348	1763
165	351	1763
166	353	1764
167	355	1762
168	357	1759
169	359	1756
170	362	1756
171	364	1754
172	366	1750
173	368	1747
174	369	1744
175	371	1740
176	373	1737
177	375	1736
178	377	1733
179	379	1729
180	381	1726
181	383	1723
182	385	1720
183	387	1718
184	389	1715
185	391	1712
186	393	1709
187	395	1707
188	397	1705
189	399	1702
190	401	1701
191	403	1699
192	405	1696
193	407	1693
194	409	1690
195	411	1687
196	413	1685
197	415	1682
198	416	1676
199	418	1673
200	420	1672
201	422	1670
202	424	1667
203	426	1664
204	429	1663
205	431	1663
206	434	1662
207	435	1659
208	438	1659
209	440	1658
210	442	1655
211	444	1652
212	446	1649
213	448	1647
214	450	1644
215	452	1642
216	454	1639
217	456	1636
218	458	1634
219	460	1631
220	462	1628
221	463	1625
222	465	1623
223	467	1621
224	469	1618
225	471	1615
226	473	1613
227	475	1610
228	478	1610
229	480	1607
230	482	1606
231	484	1603
232	486	1602
233	489	1602
234	491	1599
235	493	1599
236	495	1596
237	497	1593
238	499	1591
239	502	1590
240	505	1591
241	507	1588
242	509	1586
243	511	1583
244	512	1580
245	514	1577
246	516	1575
247	518	1572
248	520	1570
249	522	1567
250	524	1565
251	526	1562
252	528	1560
253	530	1559
254	533	1558
255	535	1556
256	537	1554
257	539	1551
258	541	1549
259	543	1546
260	545	1543
261	547	1541
262	549	1538
263	550	1535
264	552	1533
265	555	1531
266	557	1529
267	558	1526
268	560	1524
269	562	1521
270	565	1520
271	567	1518
272	569	1515
273	571	1513
274	572	1510
275	574	1508
276	576	1505
277	578	1502
278	580	1500
279	583	1499
280	585	1497
281	587	1494
282	589	1493
283	591	1491
284	593	1488
285	595	1486
286	597	1483
287	599	1481
288	602	1482
289	605	1481
290	607	1479
291	609	1478
292	611	1476
293	614	1475
294	617	1475
295	619	1474
296	621	1472
297	623	1469
298	627	1470
299	629	1468
300	631	1466
301	633	1463
302	635	1461
303	638	1460
304	639	1458
305	641	1455
306	644	1453
307	646	1453
308	648	1450
309	651	1450
310	654	1450
311	656	1448
312	658	1446
313	661	1445
314	663	1442
315	665	1440
316	667	1437
317	669	1435
318	671	1432
319	673	1430
320	675	1428
321	677	1425
322	678	1423
323	680	1420
324	682	1417
325	684	1415
326	686	1412
327	688	1410
328	690	1407
329	692	1405
330	694	1403
331	696	1402
332	698	1399
333	700	1397
334	702	1395
335	704	1392
336	706	1390
337	708	1387
338	710	1385
339	712	1382
340	714	1380
341	716	1377
342	718	1375
343	720	1374
344	722	1371
345	724	1369
346	726	1367
347	729	1366
348	731	1363
349	733	1361
350	736	1360
351	738	1358
352	740	1357
353	742	1355
354	745	1354
355	747	1352
356	749	1350
357	751	1348
358	753	1345
359	755	1343
360	757	1340
361	759	1338
362	761	1335
363	763	1333
364	765	1331
365	767	1329
366	769	1327
367	771	1325
368	773	1323
369	775	1320
370	777	1318
371	779	1316
372	781	1314
373	784	1312
374	786	1310
375	788	1307
376	790	1305
377	792	1303
378	794	1301
379	796	1299
380	798	1297
381	800	1294
382	802	1292
383	804	1290
384	806	1288
385	808	1286
386	810	1283
387	812	1281
388	815	1280
389	817	1278
390	819	1276
391	821	1273
392	823	1271
393	825	1269
