iter	Passed	Remaining
0	0	588
1	1	537
2	1	543
3	1	495
4	2	473
5	2	445
6	3	437
7	3	416
8	3	403
9	3	392
10	4	386
11	4	390
12	5	382
13	5	388
14	6	396
15	6	394
16	6	395
17	7	393
18	7	393
19	8	395
20	8	398
21	9	400
22	9	403
23	9	404
24	10	401
25	10	398
26	11	400
27	11	398
28	11	398
29	12	397
30	12	394
31	13	393
32	13	391
33	13	389
34	14	386
35	14	385
36	14	382
37	15	383
38	15	381
39	15	380
40	16	379
41	16	379
42	16	377
43	17	379
44	17	378
45	18	380
46	18	382
47	19	382
48	19	381
49	20	380
50	20	381
51	20	379
52	21	379
53	21	379
54	22	378
55	22	378
56	22	377
57	23	375
58	23	375
59	23	374
60	24	375
61	24	373
62	25	373
63	25	373
64	25	373
65	26	374
66	26	375
67	27	375
68	27	375
69	28	375
70	28	374
71	29	374
72	29	375
73	30	376
74	30	376
75	31	377
76	31	376
77	31	375
78	32	375
79	32	375
80	33	374
81	33	374
82	33	374
83	34	377
84	35	378
85	35	377
86	36	378
87	36	377
88	36	376
89	37	376
90	37	376
91	38	377
92	38	378
93	39	378
94	39	377
95	40	377
96	40	378
97	41	378
98	41	378
99	42	378
100	42	377
101	42	377
102	43	377
103	43	377
104	44	376
105	44	377
106	45	377
107	45	376
108	46	377
109	46	376
110	47	376
111	47	376
112	47	375
113	48	375
114	48	374
115	49	373
116	49	372
117	49	371
118	50	370
119	50	370
120	51	370
121	51	370
122	51	370
123	52	370
124	52	369
125	53	369
126	53	369
127	54	369
128	54	368
129	54	368
130	55	367
131	55	367
132	56	367
133	56	366
134	57	366
135	57	365
136	57	365
137	58	364
138	58	364
139	59	364
140	59	363
141	60	363
142	60	362
143	60	361
144	61	361
145	61	360
146	62	359
147	62	359
148	62	358
149	63	358
150	63	358
151	64	357
152	64	357
153	65	357
154	65	357
155	65	356
156	66	355
157	66	354
158	67	354
159	67	354
160	67	353
161	68	353
162	68	353
163	69	353
164	69	352
165	69	351
166	70	351
167	71	351
168	71	351
169	71	351
170	72	351
171	72	350
172	73	350
173	73	349
174	74	349
175	74	349
176	74	348
177	75	348
178	75	348
179	76	348
180	76	348
181	77	347
182	77	347
183	78	347
184	78	347
185	79	346
186	79	346
187	80	346
188	80	345
189	80	345
190	81	344
191	81	344
192	82	343
193	82	342
194	82	342
195	83	342
196	83	341
197	84	340
198	84	340
199	84	339
200	85	338
201	85	337
202	85	336
203	86	336
204	86	335
205	86	334
206	87	333
207	87	333
208	87	332
209	88	331
210	88	330
211	88	329
212	89	329
213	89	328
214	89	328
215	90	327
216	90	326
217	90	325
218	91	325
219	91	324
220	91	323
221	92	322
222	92	322
223	92	322
224	93	321
225	93	320
226	93	319
227	94	319
228	94	318
229	94	317
230	95	316
231	95	316
232	95	315
233	96	314
234	96	314
235	96	313
236	97	312
237	97	311
238	97	311
239	98	310
240	98	310
241	98	309
242	99	309
243	99	309
244	100	308
245	100	308
246	100	307
247	101	307
248	101	306
249	102	306
250	102	306
251	103	305
252	103	305
253	103	304
254	104	304
255	104	304
256	105	303
257	105	303
258	105	302
259	106	302
260	106	301
261	106	300
262	107	300
263	107	299
264	107	299
265	108	298
266	108	298
267	108	297
268	109	297
269	109	296
270	110	296
271	110	295
272	110	294
273	110	294
274	111	293
275	111	292
276	111	292
277	112	291
278	112	291
279	113	290
280	113	289
281	113	289
282	113	288
283	114	288
284	114	287
285	114	286
286	115	286
287	115	286
288	116	285
289	116	284
290	116	284
291	117	283
292	117	283
293	117	283
294	118	282
295	118	282
296	119	282
297	119	282
298	120	281
299	120	281
300	120	280
301	121	280
302	121	279
303	121	279
304	122	278
305	122	278
306	122	277
307	123	277
308	123	276
309	123	275
310	124	275
311	124	274
312	124	274
313	125	273
314	125	273
315	126	272
316	126	272
317	126	272
318	127	271
319	127	271
320	128	270
321	128	270
322	128	270
323	129	269
324	129	268
325	129	268
326	130	267
327	130	267
328	130	266
329	131	266
330	131	265
331	131	265
332	132	265
333	132	264
334	133	264
335	133	264
336	134	263
337	134	263
338	135	263
339	135	262
340	135	262
341	136	263
342	137	262
343	137	262
344	137	261
345	138	261
346	138	261
