iter	Passed	Remaining
0	0	663
1	1	631
2	1	551
3	2	533
4	2	536
5	3	521
6	3	506
7	3	494
8	4	491
9	4	485
10	5	478
11	5	488
12	6	484
13	6	481
14	7	477
15	7	473
16	8	471
17	8	466
18	8	463
19	9	459
20	10	466
21	10	482
22	11	496
23	12	500
24	12	499
25	13	498
26	13	495
27	14	489
28	14	484
29	14	477
30	15	471
31	15	465
32	15	460
33	16	455
34	16	451
35	16	447
36	17	444
37	18	456
38	18	451
39	18	449
40	19	446
41	19	442
42	19	438
43	20	438
44	20	435
45	20	433
46	21	430
47	21	427
48	21	425
49	22	423
50	23	429
51	23	428
52	23	426
53	24	425
54	24	424
55	25	421
56	25	420
57	25	418
58	26	415
59	26	413
60	26	414
61	27	411
62	27	410
63	27	408
64	28	406
65	28	404
66	28	401
67	29	399
68	29	398
69	29	396
70	30	395
71	30	394
72	30	392
73	31	391
74	31	389
75	31	387
76	32	387
77	32	386
78	33	385
79	33	384
80	33	384
81	34	382
82	34	381
83	34	379
84	35	378
85	35	378
86	35	377
87	36	379
88	36	378
89	37	378
90	37	379
91	38	378
92	38	379
93	39	378
94	39	377
95	39	376
96	40	376
97	40	375
98	41	373
99	41	373
100	41	371
101	42	370
102	42	369
103	42	368
104	43	367
105	43	366
106	43	365
107	44	363
108	44	362
109	44	361
110	45	361
111	45	360
112	45	359
113	46	358
114	46	357
115	46	356
116	47	355
117	47	354
118	47	353
119	47	351
120	48	350
121	48	350
122	49	349
123	49	349
124	49	348
125	50	348
126	50	347
127	50	346
128	51	346
129	51	345
130	51	344
131	52	343
132	52	342
133	52	341
134	53	341
135	53	341
136	54	340
137	54	339
138	54	339
139	55	338
140	55	338
141	55	337
142	56	337
143	56	336
144	56	335
145	57	334
146	57	333
147	57	332
148	58	332
149	58	331
150	58	331
151	59	330
152	59	329
153	59	329
154	60	328
155	60	327
156	60	327
157	61	326
158	61	325
159	61	325
160	62	324
161	62	324
162	62	323
163	63	323
164	63	322
165	64	321
166	64	321
167	64	320
168	65	320
169	65	319
170	65	319
171	66	318
172	66	318
173	66	318
174	67	317
175	67	317
176	68	317
177	68	317
178	68	316
179	69	315
180	69	315
181	70	314
182	70	314
183	70	313
184	71	313
185	71	313
186	71	312
187	72	312
188	72	312
189	73	311
190	73	311
191	73	310
192	74	310
193	74	309
194	74	309
195	75	308
196	75	308
197	75	307
198	76	306
199	76	305
200	76	305
201	77	304
202	77	304
203	77	303
204	78	303
205	78	303
206	79	302
207	79	302
208	79	301
209	79	300
210	80	300
