iter	Passed	Remaining
0	0	511
1	1	532
2	1	520
3	2	518
4	2	504
5	2	496
6	3	493
7	3	489
8	4	485
9	4	473
10	5	480
11	5	481
12	6	490
13	6	486
14	7	483
15	7	478
16	8	480
17	8	483
18	9	480
19	9	479
20	10	478
21	10	478
22	11	479
23	11	482
24	12	483
25	12	486
26	14	515
27	14	512
28	15	508
29	15	507
30	16	505
31	16	505
32	17	507
33	17	506
34	18	506
35	18	504
36	20	524
37	20	527
38	21	525
39	21	522
40	22	520
41	22	519
42	23	518
43	23	517
44	24	514
45	24	513
46	25	511
47	25	509
48	26	507
49	26	505
50	27	504
51	27	503
52	28	503
53	28	502
54	29	501
55	29	500
56	30	500
57	30	500
58	31	498
59	31	495
60	32	496
61	32	495
62	33	493
63	33	492
64	34	490
65	34	488
66	35	487
67	35	485
68	35	484
69	36	482
70	36	483
71	37	483
72	38	482
73	38	483
74	39	483
75	39	483
76	40	483
77	40	484
78	41	483
79	42	483
80	42	483
81	43	482
82	43	482
83	44	481
84	44	480
85	45	481
86	45	481
87	46	480
88	46	479
89	47	478
90	47	478
91	48	477
92	48	476
93	49	475
94	49	474
95	50	473
96	50	472
97	51	471
98	51	472
99	52	474
100	53	474
101	54	475
102	54	476
103	55	476
104	55	476
105	56	475
106	57	475
107	57	476
108	58	476
109	58	475
110	59	473
111	59	472
112	60	471
113	60	470
114	61	470
115	61	470
116	62	473
117	63	472
118	63	472
119	64	473
120	64	471
121	65	471
122	66	470
123	66	469
124	67	469
125	67	469
126	68	468
127	68	467
128	69	466
129	69	465
130	70	466
131	70	465
132	71	464
133	71	463
134	72	462
135	72	461
136	73	461
137	74	462
138	74	461
139	74	460
140	75	459
141	75	458
142	76	457
143	76	456
144	77	454
145	77	454
146	78	453
147	78	453
148	79	452
149	79	451
150	80	451
151	80	450
152	81	449
153	81	449
154	82	448
155	82	447
156	83	447
157	83	447
158	84	448
159	85	448
160	86	449
161	86	448
162	87	448
163	87	447
164	88	447
165	89	447
166	89	447
167	90	446
168	91	447
169	91	447
170	92	447
171	92	446
172	93	445
173	93	445
174	94	445
175	95	444
176	95	443
177	95	442
178	96	442
179	97	442
180	97	441
181	97	440
182	98	439
183	98	438
184	99	438
185	99	437
186	100	436
187	100	435
188	101	435
189	102	435
190	102	434
191	103	434
192	103	433
193	104	433
194	104	432
195	105	432
196	105	431
197	106	431
198	106	430
199	107	429
200	107	428
201	108	427
202	108	427
203	109	426
204	109	425
205	110	424
206	110	423
207	110	422
208	111	421
209	111	421
210	112	420
211	112	419
212	113	418
213	113	417
214	114	417
215	114	416
216	115	415
217	115	414
218	115	413
219	116	412
220	116	411
221	117	411
222	117	410
223	118	410
224	118	409
225	119	408
226	119	408
227	120	407
228	120	406
229	121	405
230	121	405
231	122	404
232	122	403
233	123	403
234	123	402
235	124	401
236	124	401
237	125	400
238	125	400
239	126	399
240	126	399
241	127	398
242	127	397
243	128	397
244	128	396
245	129	396
246	129	395
247	130	395
248	130	394
249	131	394
250	132	394
251	132	394
252	133	393
253	133	393
254	134	392
255	134	392
256	135	391
257	135	391
258	136	390
259	136	389
260	137	389
261	138	389
262	138	388
263	139	387
264	139	387
265	140	386
266	140	386
267	141	385
268	141	385
269	142	384
270	142	383
271	143	383
272	143	382
273	143	381
274	144	381
275	144	380
276	145	379
277	145	379
278	146	378
279	146	377
280	147	377
281	147	376
282	148	375
283	148	374
284	149	374
285	149	373
286	150	372
287	150	372
288	151	371
289	151	370
290	151	370
291	152	369
292	152	368
293	153	367
294	153	367
295	154	366
296	154	365
297	154	364
298	155	363
299	155	363
300	156	362
301	156	361
302	156	360
303	157	360
304	157	359
305	158	359
306	158	358
307	159	357
308	159	357
309	160	356
310	160	355
311	161	355
312	161	354
313	162	353
314	162	353
315	162	352
316	163	351
317	163	351
318	164	350
319	164	349
320	165	349
321	165	348
322	166	348
323	166	347
324	166	346
325	167	345
326	167	345
327	168	344
328	168	344
329	169	343
330	169	343
331	170	342
332	170	341
333	171	341
334	171	340
335	172	339
336	172	339
337	172	338
338	173	338
339	173	337
340	174	336
341	174	336
342	175	335
343	175	334
344	176	334
345	176	333
346	176	333
347	177	332
348	178	332
349	178	331
350	178	330
351	179	330
352	180	330
353	180	329
354	181	329
355	181	328
356	182	328
357	183	328
358	183	328
359	184	327
360	184	327
361	185	327
362	186	326
363	186	326
364	187	326
365	188	326
366	189	326
367	189	325
368	190	325
369	190	325
370	191	324
371	191	323
372	192	323
373	192	322
374	193	322
375	193	321
376	194	321
377	194	320
378	195	320
379	195	319
380	196	319
381	196	318
382	197	318
383	197	317
384	198	316
385	198	316
386	199	315
387	200	315
388	200	314
389	201	314
390	201	313
391	202	313
392	202	312
393	203	312
394	203	311
395	204	311
396	204	310
397	205	310
398	205	309
399	206	309
400	206	308
401	207	308
402	207	307
403	208	307
404	208	306
405	209	306
406	209	305
407	210	305
408	211	304
409	211	304
410	212	303
411	212	303
412	213	302
413	213	302
414	214	302
415	214	301
416	215	301
417	216	300
418	216	300
419	217	299
420	217	299
421	218	298
422	218	298
423	219	297
424	219	297
425	220	296
426	220	296
427	221	296
428	221	295
429	222	294
430	222	294
431	223	293
432	223	293
433	224	292
434	224	292
435	225	291
436	226	291
437	226	290
438	226	289
439	227	289
440	227	288
441	228	288
442	228	287
443	229	287
444	229	286
445	230	285
446	230	285
447	231	284
448	231	284
449	232	283
450	232	283
451	232	282
452	233	281
453	233	281
454	234	280
455	234	279
456	235	279
457	235	278
458	236	278
459	236	278
460	237	277
461	237	276
462	238	276
463	238	275
464	239	275
465	239	274
466	240	274
467	240	273
468	241	273
469	241	272
470	242	271
471	242	271
472	243	271
473	243	270
474	244	270
475	244	269
476	245	268
477	245	268
478	246	267
479	246	267
480	247	266
481	247	266
482	248	265
483	248	265
484	249	264
485	250	264
486	250	263
487	251	263
488	251	263
489	252	262
490	252	262
491	253	261
492	253	260
493	254	260
494	254	259
495	254	258
496	255	258
497	255	257
498	256	257
499	256	256
500	256	255
501	257	255
502	257	254
503	258	254
504	258	253
505	259	253
506	259	252
507	260	251
508	260	251
509	260	250
510	261	250
511	261	249
512	262	248
513	262	248
514	263	247
515	263	247
516	264	246
517	264	246
518	265	245
519	265	245
520	266	244
521	266	244
522	267	243
523	267	243
524	268	242
525	268	242
526	269	241
527	269	240
528	270	240
529	270	239
530	271	239
531	271	238
532	272	238
533	272	237
534	273	238
535	274	237
536	274	237
537	275	236
538	276	236
539	276	235
540	277	235
541	278	234
542	278	234
543	279	233
544	279	233
545	280	233
546	280	232
547	281	232
548	281	231
549	282	231
550	283	230
551	283	230
552	284	229
553	284	229
554	285	228
555	286	228
556	286	228
557	287	227
558	287	227
559	288	226
560	289	226
561	289	225
562	290	225
563	290	224
564	291	224
565	291	223
566	292	223
567	293	222
568	293	222
569	294	221
570	294	221
571	295	221
572	296	220
573	296	220
574	297	219
575	297	219
576	298	218
577	299	218
578	299	217
