iter	MultiRMSE
0	15.31571841
1	14.9279065
2	14.55794671
3	14.19681365
4	13.84163269
5	13.50061358
6	13.16149204
7	12.84816485
8	12.5414131
9	12.252364
10	11.95115093
11	11.65900179
12	11.39009263
13	11.12674067
14	10.87008921
15	10.62716585
16	10.38078475
17	10.15289016
18	9.921937229
19	9.69420607
20	9.47234675
21	9.269440264
22	9.063074688
23	8.87567786
24	8.68020142
25	8.500578156
26	8.318949127
27	8.146715105
28	7.983488131
29	7.824875741
30	7.664033515
31	7.512494888
32	7.364077543
33	7.218660882
34	7.082109555
35	6.939931743
36	6.812155768
37	6.686089016
38	6.553433945
39	6.440220695
40	6.338994824
41	6.230392587
42	6.122811245
43	6.029020062
44	5.922539533
45	5.806879404
46	5.711201534
47	5.614960224
48	5.510280611
49	5.421682905
50	5.328188998
51	5.242016507
52	5.166228584
53	5.087799144
54	5.003056601
55	4.915802929
56	4.834843861
57	4.752896979
58	4.69265214
59	4.625098251
60	4.552404873
61	4.484313544
62	4.41550544
63	4.357863988
64	4.288856668
65	4.231531013
66	4.183162293
67	4.13064006
68	4.076467321
69	4.02396019
70	3.971001484
71	3.925138976
72	3.878890415
73	3.834363805
74	3.790564797
75	3.742663809
76	3.698250069
77	3.655067285
78	3.61058194
79	3.566205767
80	3.524039478
81	3.485825217
82	3.45138625
83	3.415762382
84	3.371741408
85	3.330768027
86	3.292019111
87	3.260894802
88	3.223032695
89	3.188526278
90	3.158121636
91	3.119763615
92	3.090475727
93	3.05633737
94	3.029675827
95	2.996817873
96	2.971668893
97	2.950452201
98	2.923575516
99	2.89497532
100	2.861822719
101	2.839091069
102	2.814149264
103	2.790777496
104	2.766501205
105	2.748067021
106	2.726761048
107	2.697316123
108	2.680541462
109	2.652994798
110	2.635966477
111	2.609047745
112	2.588798321
113	2.57402155
114	2.547278771
115	2.533277074
116	2.518080615
117	2.500753609
118	2.48208159
119	2.45427225
120	2.431422542
121	2.418595182
122	2.398989602
123	2.38580861
124	2.366831635
125	2.355149584
126	2.336594823
127	2.319186718
128	2.30426125
129	2.290754584
130	2.273698157
131	2.251350086
