iter	Passed	Remaining
0	29	29659
1	43	21797
2	57	19019
3	69	17289
4	80	16077
5	96	15925
6	107	15250
7	126	15681
8	142	15680
9	160	15864
10	173	15583
11	185	15257
12	200	15197
13	213	15060
14	226	14878
15	240	14779
16	253	14682
17	268	14641
18	282	14560
19	295	14500
20	310	14467
21	325	14462
22	339	14420
23	352	14355
24	367	14340
25	384	14399
26	400	14446
27	416	14463
28	429	14373
29	441	14283
30	455	14238
31	467	14131
32	481	14097
33	495	14087
34	510	14086
35	524	14045
36	536	13965
37	549	13913
38	562	13858
39	574	13793
40	588	13756
41	603	13759
42	616	13725
43	631	13713
44	647	13737
45	661	13725
46	674	13670
47	687	13639
48	701	13612
49	713	13550
50	725	13492
51	738	13459
52	753	13458
53	767	13445
54	781	13425
55	794	13395
56	808	13375
57	821	13346
58	834	13302
59	848	13290
60	863	13285
61	878	13286
62	895	13325
63	911	13326
64	924	13292
65	938	13277
66	950	13230
67	962	13194
68	975	13159
69	987	13115
70	1001	13104
71	1016	13097
72	1027	13053
73	1041	13034
74	1053	12999
75	1067	12983
76	1080	12953
77	1092	12919
78	1108	12923
79	1125	12943
80	1142	12967
81	1159	12976
82	1173	12959
83	1186	12935
84	1203	12955
85	1228	13061
86	1244	13056
87	1256	13025
88	1268	12985
89	1280	12943
90	1291	12905
91	1305	12884
92	1317	12847
93	1331	12836
94	1344	12807
95	1358	12790
96	1376	12812
97	1392	12814
98	1409	12827
99	1421	12789
100	1433	12762
101	1447	12742
102	1460	12718
103	1472	12686
104	1486	12671
105	1500	12658
106	1514	12635
107	1528	12623
108	1541	12597
109	1554	12580
110	1568	12558
111	1581	12535
112	1592	12503
113	1606	12486
114	1625	12505
115	1641	12506
116	1654	12487
117	1665	12451
118	1677	12415
119	1693	12421
120	1706	12393
121	1718	12365
122	1730	12335
123	1742	12306
124	1755	12286
125	1769	12270
126	1781	12249
127	1796	12238
128	1810	12221
129	1822	12198
130	1835	12173
131	1854	12194
132	1870	12192
133	1887	12199
134	1903	12195
135	1915	12171
136	1928	12148
137	1941	12128
138	1955	12111
139	1969	12098
140	1983	12085
141	1996	12063
142	2011	12055
143	2024	12037
144	2038	12018
145	2050	11993
146	2062	11968
147	2074	11943
148	2086	11919
149	2102	11911
150	2116	11900
151	2133	11903
152	2149	11901
153	2162	11881
154	2176	11864
155	2188	11841
156	2200	11815
157	2212	11791
158	2224	11763
159	2237	11748
160	2252	11740
161	2264	11715
162	2277	11696
163	2289	11670
164	2301	11645
165	2315	11631
166	2328	11612
167	2341	11596
168	2356	11586
169	2371	11577
170	2387	11575
171	2403	11569
172	2415	11545
173	2429	11533
174	2442	11512
175	2454	11492
176	2467	11471
177	2479	11449
178	2493	11435
179	2512	11446
180	2525	11426
181	2538	11411
182	2552	11394
183	2563	11369
184	2575	11344
185	2588	11327
186	2604	11323
187	2620	11318
188	2637	11319
189	2650	11300
190	2663	11280
191	2677	11266
192	2690	11251
193	2705	11239
194	2717	11218
195	2729	11196
196	2743	11182
197	2756	11165
198	2767	11139
199	2781	11125
200	2793	11106
201	2806	11087
202	2820	11075
203	2835	11062
204	2848	11047
205	2864	11040
206	2881	11039
207	2896	11029
208	2910	11014
209	2922	10992
210	2933	10968
211	2945	10949
212	2957	10929
213	2969	10906
214	2982	10891
215	2997	10880
216	3011	10866
217	3023	10846
218	3036	10828
219	3050	10816
220	3065	10803
221	3080	10797
222	3094	10783
223	3113	10785
224	3131	10787
225	3150	10788
226	3168	10790
227	3187	10792
228	3206	10796
229	3224	10794
230	3242	10792
231	3258	10785
232	3271	10767
233	3282	10746
234	3295	10728
235	3308	10710
236	3320	10690
237	3332	10669
238	3345	10653
239	3360	10640
240	3378	10640
241	3395	10634
242	3410	10625
243	3426	10616
244	3440	10603
245	3456	10593
246	3470	10579
247	3484	10566
248	3499	10556
249	3513	10540
250	3527	10527
251	3541	10511
252	3553	10491
253	3564	10469
254	3579	10456
255	3591	10436
256	3606	10425
257	3621	10416
258	3636	10404
259	3650	10389
260	3663	10371
261	3675	10353
262	3689	10337
263	3700	10316
264	3711	10295
265	3725	10279
266	3738	10262
267	3750	10242
268	3762	10224
269	3774	10203
270	3785	10182
271	3799	10169
272	3812	10153
273	3826	10139
274	3842	10129
275	3858	10122
276	3877	10120
277	3893	10112
278	3907	10099
279	3922	10086
280	3937	10073
281	3951	10060
282	3964	10043
283	3976	10025
284	3989	10009
285	4005	9998
286	4018	9984
287	4031	9966
288	4044	9950
289	4056	9932
290	4068	9913
291	4081	9895
292	4094	9880
293	4111	9872
294	4127	9865
295	4143	9854
296	4155	9836
297	4172	9828
298	4186	9815
299	4200	9800
300	4213	9785
301	4227	9771
302	4241	9757
303	4258	9749
304	4273	9738
305	4288	9726
306	4303	9714
307	4316	9698
308	4333	9689
309	4350	9682
310	4366	9674
311	4385	9670
312	4399	9656
313	4414	9644
314	4430	9635
315	4446	9624
316	4462	9615
317	4475	9598
318	4491	9588
319	4506	9576
320	4521	9565
321	4537	9553
322	4551	9540
323	4566	9526
324	4580	9514
325	4596	9502
326	4612	9492
327	4628	9483
328	4642	9468
329	4657	9456
330	4670	9440
331	4683	9424
332	4696	9406
333	4709	9389
334	4721	9372
335	4733	9353
336	4746	9338
337	4759	9321
338	4771	9303
339	4783	9286
340	4794	9265
341	4828	9289
342	4881	9350
343	4933	9408
344	4970	9436
345	5009	9469
346	5049	9502
347	5084	9525
348	5145	9597
349	5170	9601
350	5199	9613
351	5225	9620
352	5252	9626
353	5272	9621
354	5297	9624
355	5320	9625
356	5344	9625
357	5373	9637
