iter	Passed	Remaining
0	13	13983
1	24	12276
2	33	11165
3	42	10510
4	52	10361
5	61	10175
6	70	9946
7	78	9763
8	88	9772
9	98	9702
10	106	9599
11	116	9586
12	124	9489
13	135	9514
14	143	9437
15	152	9379
16	161	9326
17	170	9323
18	180	9322
19	189	9280
20	198	9237
21	207	9231
22	216	9216
23	225	9179
24	234	9153
25	244	9141
26	253	9123
27	262	9100
28	271	9095
29	280	9070
30	290	9066
31	298	9043
32	308	9026
33	317	9026
34	327	9017
35	336	9020
36	348	9067
37	358	9075
38	368	9073
39	377	9052
40	387	9061
41	397	9069
42	407	9069
43	416	9059
44	426	9060
45	437	9063
46	446	9043
47	455	9031
48	465	9032
49	474	9016
50	484	9011
51	493	8992
52	502	8980
53	512	8974
54	521	8960
55	530	8949
56	539	8928
57	548	8901
58	556	8878
59	565	8854
60	573	8827
61	581	8803
62	590	8783
63	599	8771
64	608	8751
65	617	8744
66	626	8727
67	635	8705
68	643	8688
69	652	8668
70	661	8653
71	670	8646
72	679	8632
73	688	8611
74	697	8598
75	705	8579
76	714	8562
77	723	8547
78	731	8533
79	740	8518
80	749	8503
81	757	8484
82	766	8471
83	775	8454
84	783	8438
85	792	8422
86	801	8405
87	810	8395
88	819	8383
89	827	8367
90	836	8355
91	845	8342
92	853	8324
93	862	8316
94	871	8304
95	881	8298
96	891	8297
97	900	8291
98	910	8285
99	919	8277
100	929	8271
101	938	8261
102	947	8253
103	957	8245
104	966	8235
105	976	8236
106	987	8244
107	999	8254
108	1010	8260
109	1022	8273
110	1038	8313
111	1050	8328
112	1060	8323
113	1070	8316
114	1079	8304
115	1088	8293
116	1096	8279
117	1106	8271
118	1115	8255
119	1133	8310
120	1153	8379
121	1164	8379
122	1176	8391
123	1185	8378
124	1194	8359
125	1202	8343
126	1211	8328
127	1220	8317
128	1229	8301
129	1238	8286
130	1247	8273
131	1255	8257
132	1264	8241
133	1273	8228
134	1281	8213
135	1290	8197
136	1299	8186
137	1308	8175
138	1317	8160
139	1326	8150
140	1335	8137
141	1344	8122
142	1353	8108
143	1361	8091
144	1369	8075
145	1378	8066
146	1387	8051
147	1396	8039
148	1407	8036
149	1416	8027
150	1426	8019
151	1435	8009
152	1444	7995
153	1453	7983
154	1463	7977
155	1472	7965
156	1480	7952
157	1489	7939
158	1498	7926
159	1507	7915
160	1516	7902
161	1525	7890
162	1534	7877
163	1543	7865
164	1551	7849
165	1559	7836
166	1568	7822
167	1576	7807
168	1584	7790
169	1592	7776
170	1601	7762
171	1609	7749
172	1618	7735
173	1626	7721
174	1634	7706
175	1643	7694
176	1651	7678
177	1659	7664
178	1667	7649
179	1675	7634
180	1684	7620
181	1692	7606
182	1700	7592
183	1709	7579
184	1717	7566
185	1725	7552
186	1734	7540
187	1742	7524
188	1750	7512
189	1759	7500
190	1767	7487
191	1775	7473
192	1784	7459
193	1792	7447
194	1800	7434
195	1809	7421
196	1818	7410
197	1826	7398
198	1834	7385
199	1842	7371
200	1851	7360
201	1860	7351
202	1869	7339
203	1877	7326
204	1885	7312
205	1894	7302
206	1903	7291
207	1911	7279
208	1920	7266
209	1928	7255
210	1936	7242
211	1945	7229
212	1954	7220
213	1962	7208
214	1971	7197
215	1979	7185
216	1988	7173
217	1996	7162
218	2005	7150
219	2013	7137
220	2020	7122
221	2028	7109
222	2037	7098
223	2045	7086
224	2053	7074
225	2062	7062
226	2069	7048
227	2078	7036
228	2086	7025
229	2095	7013
230	2103	7002
231	2111	6989
232	2119	6977
233	2128	6966
234	2138	6960
235	2147	6950
236	2157	6944
237	2166	6935
238	2175	6926
239	2183	6915
240	2192	6905
241	2201	6895
242	2211	6887
243	2219	6876
244	2228	6867
245	2237	6857
246	2246	6849
247	2255	6839
248	2265	6833
249	2274	6824
250	2283	6815
251	2293	6806
252	2301	6796
253	2310	6785
254	2319	6776
255	2327	6764
256	2335	6753
257	2344	6741
258	2353	6733
259	2363	6726
260	2371	6715
261	2380	6704
262	2388	6693
263	2397	6683
264	2405	6672
265	2414	6661
266	2422	6651
267	2431	6642
268	2440	6631
269	2448	6621
270	2456	6608
271	2464	6596
272	2473	6585
273	2481	6574
274	2489	6563
275	2497	6552
276	2505	6540
277	2514	6530
278	2523	6521
279	2532	6512
280	2541	6502
281	2550	6494
282	2559	6484
283	2568	6474
284	2577	6467
285	2586	6458
286	2597	6454
287	2607	6446
288	2618	6442
289	2629	6436
290	2640	6433
291	2651	6428
292	2662	6424
293	2674	6422
294	2685	6417
295	2695	6410
296	2706	6406
297	2716	6399
298	2727	6395
299	2738	6390
300	2748	6383
301	2760	6379
302	2770	6372
303	2780	6365
304	2789	6356
305	2799	6348
306	2809	6342
307	2818	6333
308	2829	6328
309	2840	6321
310	2849	6313
311	2860	6307
312	2870	6299
313	2879	6291
314	2890	6286
315	2901	6280
316	2911	6273
317	2921	6264
318	2931	6257
319	2939	6247
320	2948	6237
321	2957	6227
322	2966	6218
323	2975	6209
324	2985	6199
325	2993	6188
326	3003	6181
327	3012	6171
328	3021	6161
329	3029	6151
330	3038	6141
331	3047	6131
332	3055	6120
333	3064	6111
334	3073	6100
335	3081	6089
336	3089	6077
337	3097	6067
338	3106	6057
339	3115	6048
340	3125	6039
341	3133	6028
342	3142	6018
343	3150	6008
344	3159	5998
345	3167	5987
346	3176	5977
347	3185	5967
348	3194	5958
349	3202	5948
350	3211	5937
351	3220	5929
352	3230	5920
353	3239	5911
354	3250	5905
355	3259	5896
356	3269	5888
357	3278	5879
358	3287	5870
359	3297	5861
360	3306	5852
361	3315	5844
362	3325	5836
363	3335	5827
364	3344	5818
365	3354	5810
366	3363	5801
367	3372	5791
368	3381	5782
369	3390	5773
370	3399	5763
371	3409	5755
372	3418	5746
